Kazakhstan Botai Eneolithic	F																						Z1
Kazakhstan Botai Eneolithic.SG	F																						Z1a
Kazakhstan Central Steppe EMBA.SG	F			C4+152																			
Kazakhstan Kangju.SG	M																		U2e2a1				
Kazakhstan Kumsay EBA	F			C5c+16234																			
Kazakhstan MLBA Aktogai	M																		U5a1a2a				
Kazakhstan MLBA OyDzhaylau	F																		U4a1				
Kazakhstan MLBA Zevakinskiy	M																		U2a				
Kazakhstan Maitan MLBA Alakul	M																		U4b1a1a1				
Kazakhstan Mereke MBA	M																		U5a1b				
Kazakhstan Sarmatian.SG	M																		U4a2				
Kazakhstan Sarmatian IA	F									I4a									U5b2c				
Kazakhstan Sarmatian IA	M																		U4a1				
Kazakhstan Shoendykol MLBA Fedorovo	F																		U2e2a1d				
Kazakhstan Tasmola EIA	F									I1a1													
Kazakhstan Tasmola EIA	M																		U5a1f1				
Kazakhstan TianShan Hun o.SG	M				D4b1a2a1																		
Kazakhstan Wusun LateSaka dup.I11524.SG	F			C4a1a+195																			
Kazakhstan Zevakinskiy BA	M																	T1a1					
Kazakhstan Zevakinskiy LBA o	M																		U5b2a1a2				
Kazakhstann OtrarCulture LIA o	M																		U5a1a1				
Kenya PastoralN Nderit possible	M												L3a2a										
Kyrgyzstan Chuy KaraDjigach BlackDeath Medieval	F		B4c1a2						HV2a2														
Kyrgyzstan Modern Nomad.SG	M								H6a1b														
Kyrgyzstan Saka IA	F																		U4a1a				
Kyrgyzstan TianShan Hun o.SG	M	A16																					
Latvia BA	F								H1c														
Latvia BA	M										J1b1a1								U5a1c1				
Latvia HG	M																		U5a2				
Lebanon Medieval o4.SG	M																	T2					
Lithuania EMN Narva	F																		U5a2e				
Lithuania EMN Narva	M																		U5b2b				
Lithuania Mesolithic	M																		U5b2c1				
Luxembourg Loschbour.DG	M																		U5b1a,U5b1a				
Macedonia IA	F											K1a3a											
Malawi Chencherere LSA 5200BP noUDG	F												L0k2										
Malawi Hora LSA 8500BP.SG	F												L0a2										
Malawi Hora LSA 8500BP.SG	M								H2a2a1														
Mexico Colonial Maya	F	A2+(64)																					
Mexico Pericues.SG	M			CZ 																			
Mexico PreColombian lc.SG	M			C 																			
Micronesia SaudeleurDynasty	M		B4a1a1																				
Moldova Glinoe Scythian.SG	M																		U4,U5a2b				
Moldova Glinoe Scythian o2.SG	F																		U5a1a2b				
Moldova Glinoe Scythian o3 lc.SG	F													M10a1a1a									
Mongolia Arkhangai Xiongnu	F											K1a19											
Mongolia Arkhangai XiongnuEarlyMedieval 1 sister.BUR003	F										J2b1a2a												
Mongolia Arkhangai XiongnuEarlyMedieval 3	F										J1d5												
Mongolia BA 1	M				D4j																		
Mongolia EBA Chemurchek 2 dup.I12957	M																	T1a1					
Mongolia EIA SlabGrave 1	F				D4j7																		
Mongolia EIA SlabGrave 1	M			C5c	D4m2																		
Mongolia Khovd MLBA	M							G2b2															
Mongolia Khuvsgul XiongnuLateMedieval 1	M								H														
Mongolia LBA CenterWest 4	M				D4j1																		
Mongolia LBA CenterWest 4 o	M	A+152+16362																					
Mongolia LBA CenterWest 5	M			C4a1a1																			
Mongolia LBA Khovsgol 6	M		B5b1																				
Mongolia LBA MongunTaiga 1	M																		U5a2				
Mongolia LBA MongunTaiga 3	M																		U2e1h				
Mongolia LBA Ulaanzukh 2	F			C4a1a+195																			
